stage,memory_start_MiB,memory_end_MiB,CPU_percent_one_core,seconds
Maccy-fresh-empty-panel,30.391586303710938,30.454086303710938,0.0357304265648182,30.004189792001853
PastePal-user-activated-initial-state,49.04779052734375,77.73540496826172,5.44468418923215,30.00560779198713
PastePal-101-text-main-window,94.96977996826172,94.89165496826172,0.05414614421366665,30.002521082991734
PastePal-101-text-main-closed,95.36040496826172,96.46977996826172,2.0141795110592016,30.005489250004757
PastePal-101-text-all-panels-hidden,96.51665496826172,96.51665496826172,0.0957282948228337,30.006323334004264
Clip-100-text-main-window,48.54785919189453,48.51660919189453,0.09842799241446155,30.007173374993727
Clip-100-text-all-panels-hidden,47.672882080078125,47.454132080078125,0.07881331017192161,30.00698733299214
PastePal-restart-102-text-main-window,77.75105285644531,77.84480285644531,0.46722539994450435,30.0061276670001
PastePal-restart-102-text-all-panels-hidden,78.39167785644531,78.36042785644531,0.02897759472951332,30.005509709000307
Maccy-restart-102-text-panel,53.79783630371094,50.39158630371094,0.023206785628416597,30.001641667000058
Maccy-restart-102-text-panel-hidden,56.92283630371094,55.07908630371094,0.0184890489197875,30.003796791999775
PastePal-20-images-grid,285.65753173828125,271.90750885009766,0.21125225368242306,30.00585345799982
PastePal-20-images-after-browse-hidden,269.28250885009766,260.06375885009766,0.12394498448477267,30.004441207999662
Clip-20-images-grid,95.6104507446289,95.4854507446289,0.06322491753892823,30.004059166999923
Clip-20-images-after-browse-hidden,94.7510757446289,94.7042007446289,0.07251271996739511,30.005884958000024
Maccy-20-images-preview-panel,411.14195251464844,409.78257751464844,0.17192441655465068,30.005336667000392
Maccy-20-images-after-preview-hidden,446.87635040283203,444.12635040283203,0.0779234487779212,30.007815832999768
Deck-62-text-16-images-background-no-panel,60.329429626464844,60.345054626464844,0.23225512092976178,30.004361750000044
Deck-66-text-18-images-background-no-panel,54.391929626464844,54.391929626464844,0.016944302662666607,30.000742833000004
Deck-preloaded-100-text-20-images-background-no-panel,23.5010986328125,23.5010986328125,0.013771020791754554,30.004432707999968
